Date,Stock_Price,Open,High,Low,Volume,Chg%
Mar-22,"17,464.75","16,593.10","17,559.80","15,671.45","7,959.71B",3.99%
Feb-22,"16,793.90","17,529.45","17,794.60","16,203.25","5,620.29B",-3.15%
Jan-22,"17,339.85","17,387.15","18,350.95","16,836.80","5,435.45B",-0.08%
Dec-21,"17,354.05","17,104.40","17,639.50","16,410.20","5,499.27B",2.18%
Nov-21,"16,983.20","17,783.15","18,210.15","16,782.40","5,853.40B",-3.90%
Oct-21,"17,671.65","17,531.90","18,604.45","17,452.90","7,651.08B",0.30%
Sep-21,"17,618.15","17,185.60","17,947.65","17,055.05","6,955.53B",2.84%
Aug-21,"17,132.20","15,874.90","17,153.50","15,834.65","6,349.87B",8.69%
Jul-21,"15,763.05","15,755.05","15,962.25","15,513.45","5,996.74B",0.26%
Jun-21,"15,721.50","15,629.65","15,915.65","15,450.90","8,079.09B",0.89%
May-21,"15,582.80","14,481.05","15,606.35","14,416.25","10,269.75B",6.50%
Apr-21,"14,631.10","14,798.40","15,044.35","14,151.40","9,640.13B",-0.41%
